"binom","pruin.binom","repro.strag","typical.habitat","pruin.thorax","pruin.abdo","z.MAT","z.arid"
"Somatochlora_calverti",0,"f","forest",0,0,1.0147962889726,1.41682603096787
"Somatochlora_cingulata",0,"f","forest",0,0,-1.70321391841994,-0.0300743267247074
"Somatochlora_elongata",0,"f","both",0,0,-1.2722812652863,0.534609823620342
"Somatochlora_ensigera",0,"f","open",0,0,-0.914547825014408,-0.703800449150155
"Somatochlora_filosa",0,"f","forest",0,0,0.490670679833191,1.27005220024912
"Somatochlora_forcipata",0,"f","both",0,0,-1.41233099608024,0.307531506349061
"Somatochlora_franklini",0,"f","open",0,0,-1.79882773873877,-0.466882884846382
"Somatochlora_georgiana",0,"f","forest",0,0,-0.528823041238158,1.3810466778224
"Somatochlora_hineana",0,"f","forest",0,0,-0.655110459564896,0.110380691122976
"Somatochlora_hudsonica",0,"f","both",0,0,-2.29722865434731,-1.13727691024613
"Somatochlora_incurvata",0,"f","both",0,0,-1.27227158581389,0.430459559120936
"Somatochlora_kennedyi",0,"f","open",0,0,-1.57918438541736,-0.260250306067075
"Somatochlora_linearis",0,"f","open",0,0,-0.0173980498738736,0.768473453799726
"Somatochlora_margarita",0,"f","forest",0,0,0.845323030537139,1.42114163564698
"Somatochlora_minor",0,"f","both",0,0,-1.61144841729327,-0.194043682990162
"Somatochlora_ozarkensis",0,"f","forest",0,0,0.324665648327576,0.216279103984791
"Somatochlora_provocans",0,"f","forest",0,0,0.245600202888942,1.51303013651177
"Somatochlora_sahlbergi",0,"f","open",0,0,-3.32137841588272,-1.64106106324341
"Somatochlora_semicircularis",0,"f","open",0,0,-1.34791802565153,-0.712679604117567
"Somatochlora_tenebrosa",0,"f","forest",0,0,-0.530516644731426,0.952699168661415
"Somatochlora_walshii",0,"f","open",0,0,-1.28613558107076,0.0781679861359846
"Somatochlora_whitehousei",0,"f","open",0,0,-2.3216708942107,-0.957727179737319
"Somatochlora_williamsoni",0,"f","forest",0,0,-1.29537230201746,0.19663178574952
"Gomphus_consanguis",0,"p","forest",0,0,-0.138372329310559,1.42907734669152
"Gomphus_rogersi",0,"p","forest",0,0,-0.0730237265330688,1.35170192845757
"Stylogomphus_albistylus",0,"p","forest",0,0,-0.868233876700048,0.786716047968401
"Stylogomphus_sigmastylus",0,"p","forest",0,0,0.215263214874745,0.999895304548916
"Stylurus_amnicola",0,"p","both",0,0,-0.680901686279119,-0.261172495342661
"Stylurus_intricatus",0,"p","open",0,0,0.00503978990504477,-1.29114979992715
"Stylurus_ivae",0,"f","forest",0,0,0.72934820951541,1.35010293363801
"Stylurus_laurae",0,"p","forest",0,0,0.0681419439446228,0.939304623183989
"Stylurus_notatus",0,"f","forest",0,0,-0.912515776689511,-0.244083974223641
"Stylurus_olivaceus",0,"f","both",0,0,-0.508202873955751,-1.21253041206074
"Stylurus_plagiatus",0,"f","both",0,0,0.202601784234987,0.217044810201975
"Stylurus_potulentus",0,"f","forest",0,0,0.994958114918648,1.76659140848928
"Stylurus_scudderi",0,"f","forest",0,0,-1.21045320583488,0.228427608798153
"Stylurus_spiniceps",0,"f","forest",0,0,-0.649709364506726,0.52401127506466
"Stylurus_townesi",0,"p","open",0,0,0.772205045137396,1.50015102807892
"Sympetrum_ambiguum",0,"p","forest",0,0,0.152369585827214,0.645756015260002
"Sympetrum_corruptum",0,"p","open",0,0,-0.185692692175012,-0.908852791957604
"Sympetrum_costiferum",0,"p","open",0,0,-1.19017780590938,-0.429876634707822
"Sympetrum_danae",0,"p","open",0,0,-1.59419073005226,-0.699211786503533
"Sympetrum_illotum",0,"p","open",0,0,0.095061179868512,-1.42953739866651
"Sympetrum_internum",0,"p","open",0,0,-1.27985125221239,-0.463013444962366
"Sympetrum_madidum",0,"p","open",0,0,-0.906962953240609,-1.23632173765132
"Sympetrum_obtrusum",0,"p","both",0,0,-1.05497444672438,-0.221204309837451
"Sympetrum_pallipes",0,"p","open",0,0,-0.799442008026278,-1.09805297618106
"Sympetrum_rubicundulum",0,"p","open",0,0,-0.692911788703853,0.192267690901988
"Sympetrum_semicinctum",0,"p","open",0,0,-0.812100582268067,-0.53719524174805
"Sympetrum_signiferum",0,"p","both",0,0,0.591182306622625,-1.69671375194225
"Sympetrum_vicinum",0,"p","both",0,0,-0.57683234771643,0.103101488294086
"Tachopteryx_thoreyi",0,"f","forest",0,0,0.103251662067189,1.17395542952305
"Tanypteryx_hageni",0,"f","open",0,0,-0.653788268432847,-1.00951514906889
"Tauriphila_argo",0,"p","both",0,0,1.53871473214604,-1.0165839988634
"Tauriphila_australis",0,"p","open",0,0,1.73402202738085,-1.84990914727002
"Tauriphila_azteca",0,"p","forest",0,0,1.53707482438413,-0.775965745092615
"Tholymis_citrina",0,"f","forest",0,0,1.37529383376616,-0.737959016215619
"Tramea_abdominalis",0,"f","open",0,0,1.44330278812773,-0.803913238426533
"Tramea_calverti",0,"f","open",0,0,0.625494729951932,-0.37542086077442
"Tramea_carolina",0,"f","open",0,0,0.286625998236842,0.86520465753507
"Tramea_insularis",0,"f","open",0,0,1.27594569669264,-0.930901450547671
"Tramea_lacerata",0,"f","open",0,0,0.0733047908887057,-0.202623773953509
"Tramea_onusta",0,"f","open",0,0,0.529150677279879,-0.691431253205547
"Triacanthagyna_caribbea",0,"f","open",0,0,1.65072918929923,-0.846262061282456
"Triacanthagyna_septima",0,"f","forest",0,0,1.65644265405947,-0.876487304281716
"Triacanthagyna_trifida",0,"f","forest",0,0,1.39754428369912,0.23612908271595
"Williamsonia_fletcheri",0,"f","forest",0,0,-1.22474472336436,0.264373838750672
"Williamsonia_lintneri",0,"f","forest",0,0,-0.850238688454058,0.132125105218754
"Brachymesia_gravida",1,"p","open",1,0.5,0.869432545694421,0.420532682875636
"Cannaphila_insularis",1,"p","forest",0.25,0.5,1.32929209268154,-0.811829813518234
"Celithemis_fasciata",1,"p","open",0,0.5,0.266486350968713,0.892685929361665
"Celithemis_martha",1,"p","open",0,1,-0.583537745305904,1.33257253331724
"Celithemis_verna",1,"p","open",1,1,0.308793002441287,1.2372042565884
"Dythemis_nigrescens",1,"p","open",1,1,1.13563222871597,-1.18457801365198
"Erythemis_collocata",1,"p","open",1,1,-0.126173508095598,-1.41183866254127
"Erythemis_peruviana",1,"p","open",1,0.25,1.63704151988901,-0.639711533403516
"Erythemis_simplicicollis",1,"p","both",1,1,0.0510486330461943,0.218312590266058
"Erythrodiplax_basifusca",1,"p","open",0,0.75,1.21722509924476,-0.0402548302062717
"Erythrodiplax_berenice",1,"p","both",0.75,0.25,0.70624944633922,0.598390153627574
"Erythrodiplax_funerea",1,"p","open",0.25,0.75,1.43607749846944,-1.77431270848504
"Erythrodiplax_fusca",1,"p","open",0,1,1.21976064489752,-1.09038626864839
"Erythrodiplax_minuscula",1,"p","open",0,1,0.700245217184934,1.12802301558802
"Gomphus_externus",1,"p","both",0,0.25,-0.179678406227709,-0.735017066473161
"Gomphus_lynnae",1,"p","open",0.25,0.5,-0.792244096024792,-1.43122903217159
"Ladona_deplanata",1,"p","both",0.25,1,0.376080865197983,1.10109628193677
"Ladona_exusta",1,"p","both",0,1,-0.716511612428325,1.19468078774725
"Ladona_julia",1,"p","both",1,0.5,-1.20862872568659,0.0247691668014766
"Leucorrhinia_frigida",1,"p","both",0,0.5,-1.12219105513273,0.208788515110731
"Leucorrhinia_proxima",1,"p","forest",0,0.25,-1.55163661917004,-0.2321419104359
"Libellula_axilena",1,"p","forest",1,1,0.548435126081621,1.14296033133771
"Libellula_comanche",1,"p","open",1,1,0.546780878304033,-1.29969799700387
"Libellula_composita",1,"p","open",0.5,1,-0.0242276430545257,-1.55983407408628
"Libellula_flavida",1,"p","forest",1,1,0.493267117489463,1.26555875901811
"Libellula_forensis",1,"f","open",1,1,-0.740189829816374,-1.12426208499347
"Libellula_jesseana",1,"p","open",1,1,1.28490379041712,0.652135319314902
"Libellula_luctuosa",1,"p","both",0.25,1,-0.179886958705677,-0.107633806114857
"Libellula_nodisticta",1,"p","open",1,1,-0.378779502178082,-1.56279132644359
"Libellula_pulchella",1,"p","open",0,1,-0.481588947211685,-0.346334575340771
"Libellula_vibrans",1,"p","forest",1,0.25,0.383701014540315,0.921809009965425
"Macrothemis_pseudimitans",1,"f","both",0,0.25,1.23208564175885,-1.42544834006512
"Miathyria_marcella",1,"p","open",1,0.25,1.1078854130951,0.213029763052828
"Micrathyria_aequalis",1,"p","open",1,0.5,1.52746290473792,-1.27612412011742
"Micrathyria_didyma",1,"p","forest",0.25,0,1.50908929201422,-0.95560111191178
"Micrathyria_dissocians",1,"p","both",0.25,0,1.52315445764152,-0.0170195780219086
"Nannothemis_bella",1,"p","open",1,0.75,-0.79935627989744,0.516749869973165
"Orthemis_ferruginea",1,"p","both",1,1,0.89260741127729,-0.609085854718075
"Pachydiplax_longipennis",1,"p","both",1,1,0.0448261916397788,-0.118294557383592
"Plathemis_lydia",1,"p","open",0.25,1,-0.308276672346667,-0.0594130139721961
"Plathemis_subornata",1,"p","open",0,1,-0.0942801069118599,-1.56344301773358
