"ID","Treatment","time","z.mass","temp.gain"
26,"c",30,1.06958296631259,2.9
26,"c",60,1.06958296631259,4.5
26,"c",90,1.06958296631259,5.8
26,"c",120,1.06958296631259,7
26,"c",150,1.06958296631259,7.9
26,"c",180,1.06958296631259,8.7
26,"c",210,1.06958296631259,9.1
26,"c",240,1.06958296631259,9.6
26,"c",270,1.06958296631259,10
26,"c",300,1.06958296631259,10.3
27,"m",0,0.966329674170314,0
27,"m",30,0.966329674170314,3.9
27,"m",60,0.966329674170314,6.4
27,"m",90,0.966329674170314,8
27,"m",120,0.966329674170314,9.3
27,"m",150,0.966329674170314,10.5
27,"m",180,0.966329674170314,11.4
27,"m",210,0.966329674170314,12
27,"m",240,0.966329674170314,12.6
27,"m",270,0.966329674170314,12.9
27,"m",300,0.966329674170314,13.3
28,"c",0,-0.00365232212096367,0
28,"c",30,-0.00365232212096367,3.2
28,"c",60,-0.00365232212096367,4.7
28,"c",90,-0.00365232212096367,6
28,"c",120,-0.00365232212096367,7
28,"c",150,-0.00365232212096367,7.6
28,"c",180,-0.00365232212096367,8
28,"c",210,-0.00365232212096367,8.7
28,"c",240,-0.00365232212096367,8.9
28,"c",270,-0.00365232212096367,8.9
28,"c",300,-0.00365232212096367,8.7
29,"c",0,0.699022171672813,0
29,"c",30,0.699022171672813,2.4
29,"c",60,0.699022171672813,4.3
29,"c",90,0.699022171672813,5.9
29,"c",120,0.699022171672813,6.4
29,"c",150,0.699022171672813,7.2
29,"c",180,0.699022171672813,8.3
29,"c",210,0.699022171672813,9
29,"c",240,0.699022171672813,9.4
29,"c",270,0.699022171672813,9.5
29,"c",300,0.699022171672813,9.7
30,"m",0,-0.066647867628932,0
30,"m",30,-0.066647867628932,3
30,"m",60,-0.066647867628932,4.8
30,"m",90,-0.066647867628932,6.2
30,"m",120,-0.066647867628932,7.2
30,"m",150,-0.066647867628932,7.9
30,"m",210,-0.066647867628932,8.9
30,"m",240,-0.066647867628932,9.7
30,"m",270,-0.066647867628932,10.3
30,"m",300,-0.066647867628932,10.6
31,"c",0,1.53426798149099,0
31,"c",30,1.53426798149099,2.3
31,"c",60,1.53426798149099,4.3
31,"c",90,1.53426798149099,5.7
31,"c",120,1.53426798149099,6.9
31,"c",150,1.53426798149099,8
31,"c",180,1.53426798149099,9
31,"c",210,1.53426798149099,9.6
31,"c",240,1.53426798149099,10.2
31,"c",270,1.53426798149099,10.6
31,"c",300,1.53426798149099,11
32,"m",0,0.699022171672813,0
32,"m",30,0.699022171672813,4.4
32,"m",60,0.699022171672813,6.5
32,"m",90,0.699022171672813,7.9
32,"m",120,0.699022171672813,9.1
32,"m",150,0.699022171672813,9.7
32,"m",180,0.699022171672813,10.4
32,"m",210,0.699022171672813,10.6
32,"m",240,0.699022171672813,10.9
32,"m",270,0.699022171672813,11
32,"m",300,0.699022171672813,11.3
