"FID","Ztemp","Zprecip","Pruinosity","Persistence","Family","Genus","Species","Genus_species","z.hist.temp","z.hist.precip"
1165,-0.070045988,-1.20107726,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",2.06072967608869,-1.58626572761688
1166,1.287526669,-1.272984644,"n",1,"Libellulidae","Libellula","Libellula saturata","Libellula_saturata",1.41181933599649,-1.60581630190906
1166,1.287526669,-1.272984644,"n",1,"Aeshnidae","Rhionaeschna","Rhionaeschna multicolor","Rhionaeschna_multicolor",1.41181933599649,-1.60581630190906
1166,1.287526669,-1.272984644,"n",0,"Libellulidae","Pantala","Pantala flavescens","Pantala_flavescens",1.41181933599649,-1.60581630190906
1167,1.279430502,-1.164136328,"n",1,"Aeshnidae","Rhionaeschna","Rhionaeschna multicolor","Rhionaeschna_multicolor",1.46803439997246,-1.66132551736477
1167,1.279430502,-1.164136328,"n",0,"Libellulidae","Perithemis","Perithemis tenera","Perithemis_tenera",1.46803439997246,-1.66132551736477
1167,1.279430502,-1.164136328,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",1.46803439997246,-1.66132551736477
1167,1.279430502,-1.164136328,"y",1,"Libellulidae","Libellula","Libellula luctuosa","Libellula_luctuosa",1.46803439997246,-1.66132551736477
1167,1.279430502,-1.164136328,"n",1,"Libellulidae","Sympetrum","Sympetrum corruptum","Sympetrum_corruptum",1.46803439997246,-1.66132551736477
1167,1.279430502,-1.164136328,"n",1,"Libellulidae","Libellula","Libellula saturata","Libellula_saturata",1.46803439997246,-1.66132551736477
1171,1.944581642,-1.096389182,"n",1,"Libellulidae","Pantala","Pantala hymenaea","Pantala_hymenaea",1.32240575030846,-1.69157515452653
1177,1.873637655,-0.935273422,"n",1,"Libellulidae","Perithemis","Perithemis tenera","Perithemis_tenera",1.42882156211051,-0.363364798890273
1177,1.873637655,-0.935273422,"y",1,"Libellulidae","Libellula","Libellula luctuosa","Libellula_luctuosa",1.42882156211051,-0.363364798890273
1179,2.049169834,-1.224627092,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",1.45439347264477,0.450507057961129
1179,2.049169834,-1.224627092,"y",1,"Libellulidae","Libellula","Libellula incesta","Libellula_incesta",1.45439347264477,0.450507057961129
1182,-0.69657337,-1.289739541,"n",1,"Corduliidae","Epitheca","Epitheca cynosura","Epitheca_cynosura",1.39568206385034,1.38377042230592
1185,-0.88081098,-0.522077516,"n",1,"Corduliidae","Epitheca","Epitheca cynosura","Epitheca_cynosura",1.43051175941501,1.66997271535602
1188,-0.821999527,0.486611984,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",1.46233429690472,1.18745505357363
1191,0.608889727,-0.531745668,"n",0,"Corduliidae","Epitheca","Epitheca cynosura","Epitheca_cynosura",1.72697744437692,0.816238674587123
1192,0.261768004,-0.549436828,"n",0,"Corduliidae","Epitheca","Epitheca cynosura","Epitheca_cynosura",1.62148582699262,0.895293226462583
1192,0.261768004,-0.549436828,"n",1,"Aeshnidae","Anax","Anax junius","Anax_junius",1.62148582699262,0.895293226462583
1266,0.366198022,-1.322638811,"n",1,"Libellulidae","Libellula","Libellula saturata","Libellula_saturata",2.06696055622752,-1.70904380822521
1267,1.447112562,-1.519038365,"n",1,"Libellulidae","Libellula","Libellula saturata","Libellula_saturata",1.3777365474959,-1.58619418864356
1268,1.671971609,-1.276792411,"n",1,"Libellulidae","Sympetrum","Sympetrum corruptum","Sympetrum_corruptum",1.35027740548684,-1.7939796753444
1268,1.671971609,-1.276792411,"n",1,"Aeshnidae","Rhionaeschna","Rhionaeschna multicolor","Rhionaeschna_multicolor",1.35027740548684,-1.7939796753444
1269,1.883579186,-1.244118297,"n",1,"Libellulidae","Sympetrum","Sympetrum corruptum","Sympetrum_corruptum",0.96266887789512,-1.67986107860329
